Story Date,Story URL,Headline,What (Claim),About Subject,About Person,Featured Image,Tags
30th Apr 2024,https://www.vishvasnews.com/politics/fact-check-dna-expert-martin-sizo-claim-related-to-rahul-gandhi-rajiv-gandhi-is-fake/,"Fact Check: अमेरिकी डीएनए विशेषज्ञ के हवाले से राहुल और राजीव गांधी के बारे किया जा रहा दावा फेक, फर्जी है न्यूजपेपर की कटिंग",अमेरिकी डीएनए एक्सपर्ट ने कहा है कि राहुल व राजीव गांधी के डीएनए मैच नहीं होते हैं।,dna expert claim related to rahul Gandhi ,"rajiv gandhi, martin sizo ",https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews-1-9.jpg,"DNA,Election Fact Check,Fact Check,Loksabha Election 2024,martin sizo,Rahul Gandhi,Rajiv gandhi"
30th Apr 2024,https://www.vishvasnews.com/english/politics/fact-check-claim-of-bogus-voting-by-rohingya-muslims-in-bengal-with-fake-fingers-is-wrong-viral-picture-is-from-japan/,"Fact Check: Claim Of Bogus Voting By Rohingya Muslims in Bengal With Fake Fingers is Wrong, Viral Picture Is From Japan",Fake voting is being done with the help of fake fingers in Bengal.,Bogus Voting By Rohingya Muslims in Bengal,Rohingya Muslims ,https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews-81-1.jpg,"Election Fact Check,Lok Sabha elections 2024,Voting"
30th Apr 2024,https://www.vishvasnews.com/politics/fact-check-election-2024-five-years-old-viral-video-of-polling-agent-making-woman-do-fake-voting/,Fact Check : महिला के वोट को प्रभावित करती पोलिंग एजेंट का वीडियो पांच साल पुराना,बंगाल में हुई फर्जी वोटिंग का वीडियो।,Video of fake voting in Bengal.,ake voting in Bengal.,https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews1-21.jpg,"Election 2024,fake news,fake voting video,Lok Sabha Election 2024,viral news"
30th Apr 2024,https://www.vishvasnews.com/politics/fact-check-assam-karimganj-loksabha-mock-polling-video-viral-with-with-false-claim/,Fact Check: असम के मॉक पोल के वीडियो को मतदान के समय का बताकर किया जा रहा झूठा दावा,लोकसभा चुनाव में एक शख्स ने चार-पांच बार कमल का बटन दबाया।,loksabha election polling,"assam, karimganj",https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews-17.jpg,"Assam Karimganj,Election Fact Check,Fact Check,Loksabha Election 2024"
30th Apr 2024,https://www.vishvasnews.com/politics/fact-check-video-of-sp-president-akhilesh-yadavs-2023-road-show-goes-viral-with-misleading-claims/,Fact Check: सपा अध्यक्ष अखिलेश यादव के 2023 रोड शो का वीडियो भ्रामक दावे के साथ वायरल,किस किस को लगा यह बीजेपी की रैली है। अबकी बार 400 पार #loksabhachunav2024,Election 2024 Amethi and Rahul Gandhi from Amethi  and Raebareli ,Akhilesh Yadav ,https://www.vishvasnews.com/wp-content/uploads/2024/04/Fake_News_24-11.jpg,"Akhilesh Yadav,Samajwadi party"
29th Apr 2024,https://www.vishvasnews.com/politics/fact-check-mamata-banerjees-2019-photo-of-making-tea-falsely-linked-to-lok-sabha-elections-2024/,"Fact Check: ममता बनर्जी की 2019 की तस्वीर, लोकसभा चुनाव 2024 से जोड़ते हुए भ्रामक दावे से वायरल",चाय बनाते हुए ममता बनर्जी की हालिया तस्वीर।,Mamata Banerjee making tea during loksabha election 2024,Mamata Banerjee,https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews-16-1.jpg,"General polls,Lok Sabha Election 2024,Mamta Banerjee News,West Bengal"
29th Apr 2024,https://www.vishvasnews.com/politics/fact-check-an-incident-of-evm-damage-in-the-manipur-election-2024-is-being-shared-with-a-false-claim/,Fact Check: मणिपुर में EVM को नुकसान पहुंचाए जाने की घटना को फेक दावे के साथ किया जा रहा शेयर,मणिपुर में वोटिंग मिसमैच की वजह से ईवीएम की तोड़फोड़।,EVM vandalized due to voting mismatch in Manipur.,"EVM vandalized, Manipur",https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews-4-4.jpg,"Election 2024,Election Fact Check,Election News,Lok Sabha Election 2024,Manipur EVM damage,Manipur News"
29th Apr 2024,https://www.vishvasnews.com/viral/fact-check-ujjain-video-of-last-rites-viral-with-mileading-claim/,"Fact Check: उज्जैन में हाईकोर्ट के आदेश के तहत अंतिम संस्कार से किया गया था मना, भेदभाव का दावा गलत",सरकारी श्मशान घाट में दलित वर्ग के व्यक्ति का अंतिम संस्कार करने से रोका गया है।,video of last rites,Ujjain,https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews-1-8.jpg,"Fact Check,Ujjain,viral video"
29th Apr 2024,https://www.vishvasnews.com/politics/fact-check-japan-made-fake-fingers-photo-news-viral-in-lok-sabha-election-2024-to-cast-vote/,"Fact Check : नकली उंगलियों से बंगाल में रोहिंग्या मुस्लिमों के बोगस वोटिंग का दावा फेक, वायरल तस्वीर जापान की है",बंगाल में नकली उंगलियों की मदद से की जा रही फर्जी वोटिंग।,Bogus Voting By Rohingya Muslims in Bengal,Rohingya Muslims ,https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews-30.jpg,"Fact Check,Japan fake fingers News,Japan fake fingers Photos,Japanese fake fingers news,Lok Sabha Election 2024,viral news"
29th Apr 2024,https://www.vishvasnews.com/politics/fact-check-amit-shah-fake-video-on-ending-sc-st-obc-reservation-viral-in-loksabha-election-2024/,"Fact Check: आरक्षण खत्म करने को लेकर वायरल हो रहा अमित शाह का वीडियो फेक है, असली वीडियो से की गई छेड़छाड़","केंद्रीय गृहमंत्री अमित शाह ने कहा कि अगर भाजपा सरकार बनेगी तो एससी, एसटी और ओबीसी आरक्षण खत्म कर देंगे।",Home Minister fake video,Amit Shah ,https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews-16.jpg,"Amit Shah,Election Fact Check,Fact Check,Loksabha Election 2024,sc st obc reservation"
27th Apr 2024,https://www.vishvasnews.com/viral/fact-check-false-claim-alert-surabhi-chandna-photos-circulating-as-dhanashree-verma/,Fact Check: टीवी एक्ट्रेस सुरभि चांदना की तस्वीरों को धनश्री वर्मा की बताकर गलत दावे से किया जा रहा वायरल,दानाश्री और प्रतीत उतरेकर ने काफी क्लोज पोज देकर फोटो क्लिक कराई है। टीम इंडि’या के स्पिनर युज’वेंद्र पहल की दाना’श्री सोशल पर वाय’रल हो रही एक की वजह से सुर्खि’यों में हैं। इस फोटो की वजह से काफी बाते हो रही हैं,Pictures of Dhanashree Verma with her boyfriend.,Surabhi Chandna,https://www.vishvasnews.com/wp-content/uploads/2024/04/Fake_News_23-18-2.jpg,"Dhanashree Verma,Dhanashree Verma false claim,Surabhi Chandna false claim,Surabhi Chandna Viral Photos,Viral pictures TV actress,Yuzvendra Chahal"
27th Apr 2024,https://www.vishvasnews.com/politics/pm-narendra-modi-tempered-speech-viral-in-between-lok-sabha-chunav-2024/,Fact Check : पीएम मोदी के भाषण के साथ छेड़छाड़ करके किया गया वायरल,भाजपा कभी भी मजबूत भारत नहीं बना सकती _ मोदी।,Against Narendra Modi,Narenda Modi. Election,https://www.vishvasnews.com/wp-content/uploads/2024/04/Fake_News_23-20.jpg,"Elections 2024,Fact Check,Lok Sabha Chunav 2024,Pm Modi Tempered Speech"
26th Apr 2024,https://www.vishvasnews.com/politics/fact-check-bjp-manifesto-sankalp-patra-features-ucc-as-institutional-reform-but-no-mention-of-nrc/,"Fact Check: BJP के घोषणापत्र ‘संकल्प पत्र’ में यूसीसी यानी समान नागरिक संहिता का जिक्र, वायरल दावा भ्रामक है",BJP के चुनावी घोषणापत्र में UCC और NRC का जिक्र नहीं।,UCC and NRC are not mentioned in BJP's election manifesto.,"UCC, NRC, BJP's election manifesto",https://www.vishvasnews.com/wp-content/uploads/2024/04/WhatsApp-Image-2024-04-25-at-7.11.25-PM.jpeg,"BJP Manifesto,Election Fact Check,Fact Check,fake news,Lok Sabha Chunav 2024,Lok Sabha Election 2024,Sankalp Patra False Claim"
26th Apr 2024,https://www.vishvasnews.com/politics/edited-fake-india-today-survey-viral-and-linked-to-lok-sabha-election-2024/,Fact Check : इंडिया टुडे के सर्वे के साथ छेड़छाड़ करके वायरल किया गया Fake ग्राफिक,"इंडिया टुडे ने उत्तर प्रदेश के अपने सर्वे में ~ सपा को 17 सीट दी है ~ कांग्रेस को 5 सीट दी है बस देखते जाओ ये तो बस शुरुआत है, सपा 30 से अधिक सीटें अकेले जीतेगी",India today survey,"India Today, Election",https://www.vishvasnews.com/wp-content/uploads/2024/04/fake-0-1-1.jpg,"Election 2024,Fake India Today Survey,India Today Survey,Lok Sabha Election 2024"
26th Apr 2024,https://www.vishvasnews.com/english/politics/fact-check-2019-video-falsely-circulated-as-recent-pm-modi-rally/,Fact Check: 2019 video falsely circulated as recent PM Modi rally,people gathered at Prime Minister Narendra Modi’s rally in Bhinmal,Modi Rally,"Narendra Modi, Rajasthan, Election",https://www.vishvasnews.com/wp-content/uploads/2024/04/fake-6.jpg,"Lok Sabha elections 2024,PM Modi,Prime Minister Narendra Modi"
26th Apr 2024,https://www.vishvasnews.com/politics/fact-check-pm-narendra-modi-at-sant-kabir-mazaar-in-maghar-old-images-viral-in-loksabha-election-2024/,Fact Check: संत कबीर की मजार पर पुष्पांजलि अर्पित करते पीएम मोदी की करीब छह साल पुरानी तस्वीर लोकसभा चुनाव में वायरल,पीएम मोदी ने दरगाह पर चादर चढ़ाई।,pm at sant kabir mazaar in maghar,narendra modi,https://www.vishvasnews.com/wp-content/uploads/2024/04/Fake_News_24-2.jpg,"Fact Check,loksabha election 2024] election fact check,maghar,PM Narendra Modi,Sant Kabir Mazaar"
26th Apr 2024,https://www.vishvasnews.com/politics/fact-check-five-year-old-video-of-aap-leader-atishi-is-being-viral-by-linking-it-to-lok-sabha-elections-2024/,Fact Check: आप नेता आतिशी के पांच साल पुराने वीडियो को लोकसभा चुनाव 2024 से जोड़कर किया जा रहा वायरल,"अगर गुंडे को वोट देना पड़े, तो गुंडे को दे देना क्योंकि मोदी को हराना है – आतिशी मारलेना और यह आये थे राजनीति बदलने। ","Elections 2024, vote for goons instead of BJP",Atishi Marlena,https://www.vishvasnews.com/wp-content/uploads/2024/04/Fake_News_24-10.jpg,"AAP,Atishi,Lok Sabha Election 2024"
26th Apr 2024,https://www.vishvasnews.com/politics/fact-check-protest-against-punjab-cm-bhagwant-mann-false-claim-video-viral/,"Fact Check: सीएम भगवंत मान के विरोध का यह वीडियो पुराना है, भ्रामक दावे के साथ वायरल", लोकसभ चुनाव 2024 में सीएम भगवंत मान के विरोध का वीडियो।,Video of CM Bhagwant Mann's protest in Lok Sabha elections 2024.,Bhagwant Mann,https://www.vishvasnews.com/wp-content/uploads/2024/04/fake-4-2.jpg,"AAP,CM Bhagwant Mann,Fact Check,Lok Sabha Chunav 2024,Protest Against Bhagwant Mann,punjab news"
26th Apr 2024,https://www.vishvasnews.com/politics/fact-check-pakistani-video-of-man-wearing-burqa-goes-viral-linking-it-to-lok-sabha-elections-2024/,"Fact Check: बुर्का पहने युवक का पकिस्तान का वीडियो, लोकसभा चुनाव 2024 से जोड़कर वायरल",बुर्का पहनाकर फर्जी वोट करवाया जा रहा है.,Burqa clad man caught during loksabha election voting ,Muslims ,https://www.vishvasnews.com/wp-content/uploads/2024/04/Fake_News_23-16.jpg,"Burqa clad Man,Lahore,Lok Sabha Election 2024,Lok Sabha elections 2024,Loksabha Election,loksabha election 2024] election fact check,Pakistan,viral video"
25th Apr 2024,https://www.vishvasnews.com/politics/fact-check-shah-rukh-khan-lookalike-ibrahim-qadri-supporting-congress-election-2024-campaign/,"Fact Check : कांग्रेस के लिए चुनाव प्रचार करता शख्स शाहरुख़ खान नहीं, उनका हमशक्ल है", ShahRukh Khan कांग्रेस का प्रचार करते नजर आये,Srk was seen campaigning for Congress, ShahRukh Khan,https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews-83.jpg,"Congress,Congress News,Election Fact Check,Fact Check,Ibrahim Qadri,Lok Sabha Election 2024,Shah Rukh Khan lookalike,Shah Rukh Support Congress News,Shahrukh Khan"
25th Apr 2024,https://www.vishvasnews.com/politics/fact-check-2012-video-of-raveena-tandon-campaigning-in-support-of-congress-is-being-viral-as-recent/,Fact Check: कांग्रेस के समर्थन में प्रचार करती रवीना टंडन का 2012 का वीडियो हाल का बताकर किया जा रहा वायरल,रवीना टंडन ने कहा कि इस बार कांग्रेस की जीत होगी।,Congress campaingn during loksabha elections ,Raveen Tondon ,https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews-15.jpg,"Congress,Lok Sabha elections 2024,Ravina Tondon,vadodara"
26th Apr 2024,https://www.vishvasnews.com/politics/fact-check-mamata-banerjee-real-name-mumtaz-masama-khatoon-is-fake/,Fact Check: ममता बनर्जी का वास्तविक नाम “मुमताज मासामा खातून” होने का दावा FAKE और चुनावी दुष्प्रचार, ममता बनर्जी का असली नाम मुमताज मासामा खातून है।,Mamata Banerjee's real name is Mumtaz Masama Khatoon.,Mamata Banerjee,https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews-3-5.jpg,"Election Fact Check,Fact Check,fake news,Lok Sabha Election 2024,Mamata Banerjee,Mamata Banerjee real name,Mamta Banerjee News,Mumtaz Masama Khatoon"
25th Apr 2024,https://www.vishvasnews.com/politics/fact-check-reason-of-more-than-100-percent-voting-in-west-tripura-in-loksabha-election-2024/,"Fact Check: त्रिपुरा के कुछ पोलिंग बूथ पर 100% से ज्यादा मतदान के साथ किया जा रहा दावा भ्रामक, चुनाव अधिकारियों के वोट भी जुड़े हैं उसमें",त्रिपुरा में 110 फीसदी मतदान हुआ।,more than 100 percent voting in loksabha election 2024 ,west tripura,https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews-4-3.jpg,"Election Fact Check,Fact Check,Loksabha Election 2024,Voting,west tripura"
25th Apr 2024,https://www.vishvasnews.com/world/fact-check-old-clips-are-being-viral-linking-it-to-the-recent-dubai-rains/,Fact Check: पुराने क्लिप्स को हालिया दुबई बारिश से जोड़कर किया जा रहा है वायरल,दुबई टोर्नेडो,Dubai rains,Dubai citizens,https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews-78-1.jpg,"Dubai Rains,Rain Floods"
25th Apr 2024,https://www.vishvasnews.com/politics/fact-check-salman-khan-support-rahul-gandhi-in-lok-sabha-election-2024-ten-year-old-video-viral/,"Fact Check : चुनावी प्रचार को लेकर सलमान खान का वीडियो 10 साल पुराना, भ्रामक दावे के साथ वायरल", सलमान खान ने लोकसभा चुनाव में किया राहुल गांधी का समर्थन।,Salman Khan supported Rahul Gandhi in Lok Sabha elections.,"Salman Khan, Rahul Gandhi",https://www.vishvasnews.com/wp-content/uploads/2024/04/image-43-1.png,"Fact Check,Fake News viral,Lok Sabha Election 2024,Salman Khan News,Salman Khan Rahul Gandhi video viral,Salman Khan supporting Rahul Gandhi"
25th Apr 2024,https://www.vishvasnews.com/politics/fact-check-imran-pratapgarhi-five-year-old-video-falsely-link-to-loksabha-election-2024/,Fact Check: इमरान प्रतापगढ़ी के पांच साल पुराने मुशायरे के वीडियो को लोकसभा चुनाव 2024 से जोड़कर किया जा रहा वायरल,इमरान प्रतापगढ़ी ने यह बयान हाल ही में दिया है।,congress leader rally in loksabha election 2024,imran pratapgarhi,https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews-3-4.jpg,"Congress,Election Fact Check,Fact Check,Imran Pratapgarhi,Loksabha Election 2024"
25th Apr 2024,https://www.vishvasnews.com/politics/lok-sabha-election-rajasthan-minister-kirodi-lal-meena-statement-on-constitution-and-aarakshan-tempered-video-viral/,"Fact Check : राजस्थान के मंत्री किरोड़ी लाल मीणा के वीडियो के साथ की गई छेड़छाड़, फर्जी है वायरल पोस्ट",राजस्थान सरकार के मंत्री किरोड़ीलाल मीणा जी खुद कह रहे है की 400 करेंगे तो मोदी जी आरक्षण ख़त्म कर सविंधान को बदल देंगे,Rajasthan minister kirodi lal meena against Reservation,"Kirodi Lal Meena, Rajasthan, Election",https://www.vishvasnews.com/wp-content/uploads/2024/04/Fake_News_24-5.jpg,"Aarakshan,Kirodi Lal Meena,Kirodi Lal Meena Viral Video,Lok Sabha Election 2024,PM Modi,Rajasthan politics"
24th Apr 2024,https://www.vishvasnews.com/politics/video-of-voting-rigging-in-pakistan-goes-viral-by-linking-it-to-indias-lok-sabha-elections/,"Fact check: पाकिस्तान में वोटिंग में हुई धांधली का वीडियो, भारत के लोकसभा चुनाव से जोड़कर वायरल",यह वीडियो भारत में चल रहे लोकसभा चुनाव की वोटिंग का है।,Fake voting during loksabha elections 2024,Pakistan ,https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews-14-1.jpg,"By elections,General elections,Lok Sabha Election 2024,Pakistan,Pakistan Gujarat,Pakistan voting,Rigging"
24th Apr 2024,https://www.vishvasnews.com/politics/fact-check-lok-sabha-elections-2024-congress-booth-old-picture-going-viral-has-no-connection-with-this-chunav/,"Fact Check: कांग्रेस बूथ की वायरल हो रही तस्वीर पुरानी है, लोकसभा चुनाव 2024 से नहीं है कोई संबंध",लोकसभा चुनाव 2024 के दौरान खाली पड़ा कांग्रेस बूथ की तस्वीर।,Picture of Congress booth lying vacant during Lok Sabha elections 2024.,Congress,https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews1-2024-04-24T180808.892.jpg,"Congress,Congress Booth Viral Picture,Fact Check,fake news,Lok Sabha elections 2024,LS election 2024,Rahul Gandhi"
24th Apr 2024,https://www.vishvasnews.com/politics/fact-check-rahul-gandhi-not-announced-giving-one-lakh-rupees-annually-to-youth-spending-time-on-social-media/,Fact Check: सोशल मीडिया पर समय बिताने वाले युवाओं को लाख रुपये देने के दावे के साथ वायरल राहुल गांधी का क्लिप FAKE,राहुल गांधी ने सोशल मीडिया पर टाइम पास करने वाले युवाओं सालाना एक लाख रुपये दिए जाने की घोषणा की।,Rahul Gandhi announced that youth who pass time on social media will be given one lakh rupees annually.,Rahul Gandhi,https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews-2-3.jpg,"Election Fact Check,Fact Check,fake news,Lok Sabha Election 2024,Rahul Gandhi,Rahul Gandhi one lakh rupees,Rahul Gandhi social media youth salary"
24th Apr 2024,https://www.vishvasnews.com/world/fact-check-viral-burqa-smuggling-video-traced-to-bangladesh-not-india/,"Fact Check : भारत का नहीं, बांग्लादेश का है बुर्का में तस्करी करते लोगों का वायरल वीडियो", भारत में बुर्का में तस्करी करते लोगों का वीडियो।,Video of people smuggling in burqa in India.,smuggling in burqa,https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews1-20.jpg,"Bangladesh burqa smuggling truth,Bangladesh viral video truth,Fact Check,fake news,urqa smuggling video Bangladesh,viral video"
24th Apr 2024,https://www.vishvasnews.com/viral/fact-check-farmer-viral-picture-is-not-real-ai-created-read-full-story/,"Fact Check : किसान की वायरल तस्वीर वास्तविक नहीं, AI निर्मित है", बारिश और ओलावृष्टि से खराब हुई फसल को देख रोते किसान की तस्वीर।,Farmer crying after seeing his crop damaged due to rain and hailstorm.,Farmer,https://www.vishvasnews.com/wp-content/uploads/2024/04/IMG-20240424-WA0009.jpg,"ai generated farmer photo,deepfake farmer photo,Farmer,Farmer photo,kisan ai generated photo"
24th Apr 2024,https://www.vishvasnews.com/politics/fact-check-video-of-pakistans-scholar-giving-statement-about-bjp-viral-with-claim-of-taliban-chief-secretary/,Fact Check: BJP के बारे में बयान देते पाकिस्तानी स्कॉलर का वीडियो तालिबान के नाम से वायरल,यह व्यक्ति तालिबान का मुख्य सचिव है।,statement of Taliban chief secretary,Pakistani scholar ,https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews-12-2.jpg,"BJP,pakistani scholar,Taliban Chief Secretary,viral video"
24th Apr 2024,https://www.vishvasnews.com/politics/fact-check-kerala-congress-old-banner-falsely-link-to-loksabha-election-2024/,"Fact Check: कांग्रेस के चुनाव चिह्न और राहुल गांधी की तस्वीर के साथ वायरल पुराने बैनर पर नहीं है बीफ का जिक्र, वायरल दावा गलत",बैनर पर गोमांस खाने के लिए कांग्रेस को लाने की बात लिखी हुई है।,kerala congress banner in loksabha election 2024,kerala congress,https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews-2-2.jpg,"Congress,Kerala,Loksabha Election 2024,Rahul Gandhi"
24th Apr 2024,https://www.vishvasnews.com/politics/rahul-gandhi-viral-speech-addressing-minorities-dalits-backward-classes-generals-and-tribals-false-claim-viral/,"Fact Check : सिर्फ माइनॉरिटीज नहीं, दलित, पिछड़े, जनरल और आदिवासियों की भी बात की थी राहुल गांधी ने, एडिटेड है वायरल वीडियो",Desh ka X-Ray kar dengey. Minorities ko pata chal jayega unki bhagidari kitni hai.,Rahul gandhi's pro muslim statement,"Rahul Gandhi, Congress, Muslim, Election",https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews-26-2.jpg,"Edited Video of Rahul Gandhi,Rahul Gandhi speech on minorities,Rahul Gandhi Viral Speech,viral news"
24th Apr 2024,https://www.vishvasnews.com/english/politics/fact-check-viral-video-claiming-mahua-moitras-answer-to-morning-source-of-energy-as-sex-is-fake/,Fact Check: Viral Video Claiming Mahua Moitra’s Answer to Morning Source of Energy as Sex Is Fake, Mahua Moitra described sex as her morning source of energy., Mahua Moitra described sex as her morning source of energy.,Mahua Moitra,https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews-77.jpg,"Fact Check,Mahua Moitra"
24th Apr 2024,https://www.vishvasnews.com/world/fact-check-video-of-abu-dhabi-temple-is-being-shared-as-being-from-dubai/,Fact Check: अबू धाबी के मंदिर के वीडियो को दुबई का बताकर किया जा रहा है शेयर,दुबई हिंदू मंदिर में ऐतिहासिक श्रद्धालु,Dubai temple ,PM Modi,https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews1-81.jpg,"Abu Dhabi BASP Temple,Dubai"
24th Apr 2024,https://www.vishvasnews.com/viral/fact-check-fake-claim-of-rs-20000-crore-seized-from-bjp-mlas-car-goes-viral-again/,Fact Check: बीजेपी विधायक की गाड़ी से 20 हजार करोड़ की राशि पकड़े जाने का फर्जी दावा फिर वायरल,"BJP के विधायक सुधीर गाडगिल की गाडी से 20 हजार करोड पकडे गये।” पोस्ट में इस्तेमाल तस्वीर के अंदर लिखा है “मोदी जी को बधाई हो भाजपा के विधायक सुधीर गाडगिल की कार से 20 हजार करोड़ की नई करंसी पकड़ी गई है। ये खबर आग की तरह फैला, दो क्योंकि अपने भारत की मीडिया में ये दिखाने की औकात नहीं।",BJP MP,Sudhir Gadgil,https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews-76-1.jpg,"BJP,Cash for Vote,Lok Sabha Election 2024,Sudhir Gadgil"
24th Apr 2024,https://www.vishvasnews.com/politics/fact-check-amit-shahs-incomplete-video-goes-viral-he-talked-about-jute-production/,"Fact Check: अमित शाह का अधूरा वीडियो वायरल, उन्होंने जूट उत्पादन की बात की थी, झूठ उत्पादन की नहीं",झूठ उत्पादन में नंबर 1,Jhoot utpadan,Amit Shah ,https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews-75-1.jpg,"Amit Shah,BJP,Election Fact Check,Lok Sabha Election 2024"
24th Apr 2024,https://www.vishvasnews.com/politics/fact-check-viral-claim-of-theft-of-vvpat-slips-after-first-phase-of-lok-sabha-elections-is-false/,"Fact Check: लोकसभा चुनाव के पहले चरण के बाद VVPAT पर्चियों को चुराए जाने का दावा FAKE, पहले भी हो चुका है वायरल",लोकसभा चुनाव के पहले चरण के मतदान के बाद वीवीपैट पर्चियों के साथ छेड़छाड़ की घटना।,The incident of tampering with VVPAT slips after voting in the first phase of the Lok Sabha elections.,"VVPAT Tampering, Lok Sabha elections",https://www.vishvasnews.com/wp-content/uploads/2024/04/WhatsApp-Image-2024-04-23-at-6.56.44-PM.jpeg,"Election Fact Check,Fact Check,Fake News viral,Lok Sabha Election 2024,Lok Sabha Elections Phase 1,LS Polls 2024,VVPAT slip theft debunked"
23rd Apr 2024,https://www.vishvasnews.com/politics/fact-check-the-video-of-2019-is-being-made-viral-by-pretending-to-be-pm-modis-recent-rally/,Fact Check : 2019 के वीडियो को PM मोदी की हाल की रैली का बताकर किया जा रहा VIRAL,भीनमाल में प्रधानमंत्री नरेंद्र मोदी जी की रैली में उमड़ा जनसैलाब।,PM Modi ralyy in Rajasthan,"Narendra Modi, Rajasthan, Election",https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews-25-2.jpg,"BJP,Lok Sabha Election 2024,Narendra Modi"
23rd Apr 2024,https://www.vishvasnews.com/viral/fact-check-fake-indian-oil-message-resurfaces-online-get-the-facts-here-to-avoid-misinformation/,Fact Check : गर्मियों में फ्यूल टैंक फटने को लेकर इंडियन ऑयल के नाम से वायरल मैसेज फेक,"आने वाले दिनों में तापमान बढ़ना तय है, इसलिए अपनी गाड़ी में अधिकतम सीमा तक पेट्रोल न भरवाएं। इससे फ्यूल टैंक में विस्फोट हो सकता है।",Indian Oil warned,Indian Oil message,https://www.vishvasnews.com/wp-content/uploads/2024/04/Fake_News_24-14.jpg,"Fact Check,Fake Indian Oil message,false Indian Oil rumors,Indian Oil misinformation alert,Indian Oil viral message"
23rd Apr 2024,https://www.vishvasnews.com/viral/fact-check-image-of-artwork-made-on-a-tree-has-been-created-with-ai-shared-as-real/,"Fact Check : पेड़ पर बनी कलाकृति की यह इमेज AI टूल की मदद से बनाई गई है, असली समझ की जा रही शेयर",व्यक्ति ने पेड़ पर कलाकृति बनाई।,Artwork on tree,AI Image,https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews-11-1.jpg,"AI,AI Image,Artificial Intelligence,artwork,Farmer"
23rd Apr 2024,https://www.vishvasnews.com/viral/fact-check-this-image-of-policemen-feeding-poor-is-ai-generated/,Fact Check: AI निर्मित तस्वीर को असली समझ शेयर कर रहे हैं लोग,गरीब के दुश्मन हो तो लाइक मत करना,Police feeding poor,Policemen,https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews-74-1.jpg,"AI Image,Artificial Intelligence"
23rd Apr 2024,https://www.vishvasnews.com/english/viral/fact-check-fake-newspaper-cutting-of-flights-arriving-from-gulf-countries-amid-elections-goes-viral/,Fact Check: Fake Newspaper Cutting Of Flights Arriving From Gulf Countries Amid Elections Goes Viral,enthusiasm for voting is being seen in the Muslim community,flights arriving from gulf countries,Loksabha Election 2024,https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews-12-1.jpg,"Election Fact Check,Lok Sabha elections 2024"
23rd Apr 2024,https://www.vishvasnews.com/politics/fact-check-congress-leader-priyanka-gandhi-vadra-and-rijil-makkutty-image-is-old/,"Fact Check: प्रियंका गांधी और केरल के कांग्रेस नेता की यह सेल्फी पांच साल पुरानी है, हाल की नहीं","यह तस्वीर केरल में सरेआम गौहत्या करने वाले कांग्रेस नेता की है, जिससे हाल ही में प्रियंका गांधी की मुलाकात हुई है।",congress leaders,"priyanka gandhi vadra, rijil makkutty",https://www.vishvasnews.com/wp-content/uploads/2024/04/vishvasnews-14.jpg,"Congress,Fact Check,Priyanka Gandhi Vadra,Rijil Makkutty"
