Query,Top Matched Article
It is Dandeli Karnataka near hubi darwad. Sometimes overconfidence has to pays a lot,"Fact Check: Video Of Car Swept Away In Water Is Not From Karnataka, Unrelated To Cyclone Biparjoy"
"Overconfidence comes at a price in Dandeli, Karnataka, near Hubli Dharwad.","Fact Check: Video Of Car Swept Away In Water Is Not From Karnataka, Unrelated To Cyclone Biparjoy"
"A cautionary tale of overconfidence unfolds in Dandeli, near Hubli-Dharwad, Karnataka.","Fact Check: Video Of Car Swept Away In Water Is Not From Karnataka, Unrelated To Cyclone Biparjoy"
"In Dandeli, Karnataka, close to Hubli-Dharwad, the cost of overconfidence is shown.","Fact Check: Video Of Car Swept Away In Water Is Not From Karnataka, Unrelated To Cyclone Biparjoy"
Karnataka CM made the football team wait on the footpath,"Fact Check: Karnataka CM Siddaramaiah Did Not Insult Footballers, Old Video of BJP Regime Viral With False Claim"
The football squad experienced a delay on the sidewalk at the behest of Karnataka's Chief Minister.,"Fact Check: Karnataka CM Siddaramaiah Did Not Insult Footballers, Old Video of BJP Regime Viral With False Claim"
Karnataka's leader caused an unexpected halt for a football team on the pavement.,"Fact Check: Karnataka CM Siddaramaiah Did Not Insult Footballers, Old Video of BJP Regime Viral With False Claim"
"A local football team stood by on the footpath, awaiting the CM of Karnataka.","Fact Check: Karnataka CM Siddaramaiah Did Not Insult Footballers, Old Video of BJP Regime Viral With False Claim"
Strong sea tide in Madhavpur (Gujarat),Fact Check: Old Video From Spain Passed Off As Cyclone Biparjoy In Gujarat
Madhavpur in Gujarat witnesses a powerful ocean surge.,Fact Check: Old Video From Spain Passed Off As Cyclone Biparjoy In Gujarat
"A formidable tidal wave strikes the coast of Madhavpur, Gujarat.",Fact Check: Viral Picture of 'Duck Orchid' is AI-Generated
"The shores of Madhavpur, Gujarat, grapple with a vigorous sea tide.",Fact Check: Crystallised Book Artwork Being Claimed As Holy Quran Recovered From Deep Sea
Yogendra Yadav's childhood friends and family members refer to him as Salim,Fact-Check: Edited video of Yogendra Yadav going viral with false claim related to his religion
Acquaintances from his early years and relatives address Yogendra Yadav as Salim.,Fact Check: Incomplete Video of Yogendra Yadav Being Shared with Misleading Claims
Salim is the moniker used by Yogendra Yadav's kin and childhood companions.,Fact Check: Incomplete Video of Yogendra Yadav Being Shared with Misleading Claims
Close ones and family from his younger days commonly call Yogendra Yadav 'Salim'.,Fact Check: Incomplete Video of Yogendra Yadav Being Shared with Misleading Claims
Uorfi Javed visited Bageshwar Dham,Fact-Check: Edited Video Of TV Actor Uorfi Javed Visiting Bageshwar Dham Going Viral With False Claim
Celebrity Uorfi Javed made a recent visit to the sacred site of Bageshwar Dham.,Fact-Check: Edited Video Of TV Actor Uorfi Javed Visiting Bageshwar Dham Going Viral With False Claim
Uorfi Javed's pilgrimage to Bageshwar Dham marks a personal journey.,Fact-Check: Edited Video Of TV Actor Uorfi Javed Visiting Bageshwar Dham Going Viral With False Claim
Bageshwar Dham was graced with the presence of Uorfi Javed.,Fact-Check: Edited Video Of TV Actor Uorfi Javed Visiting Bageshwar Dham Going Viral With False Claim
One terrorist arrested in Srinagar,Fact Check: Old Video Of Boy's Arrest In Brazil Going Viral With False Claim
Security forces capture a terrorist operative in Srinagar.,Fact Check: NASA Video Based On Apollo Mission Data Falsely Circulated as Chandrayaan-3 Footage
Srinagar's law enforcement detains an individual on terrorism charges.,Fact Check: Viral Picture of 'Duck Orchid' is AI-Generated
A singular arrest of a terror suspect unfolds in Srinagar.,Fact Check: Old Video Of Boy's Arrest In Brazil Going Viral With False Claim
Tata Company is providing an 84-day recharge worth Rs 719 to all Indian users on Ratan Tata's birthday,Fact Check: Fake Post On Tata Offering Free Recharge Of Rs 719 On Ratan Tata's Birthday Goes Viral
"On the occasion of Ratan Tata's birth anniversary, Tata Company announces a special 84-day recharge offer.",Fact Check: Fake Post On Tata Offering Free Recharge Of Rs 719 On Ratan Tata's Birthday Goes Viral
"Tata Company's celebratory offer of Rs 719 recharge spans 84 days, marking Ratan Tata's birthday.",Fact Check: Fake Post On Tata Offering Free Recharge Of Rs 719 On Ratan Tata's Birthday Goes Viral
Indian users to receive an 84-day telecom recharge from Tata Company as a tribute to Ratan Tata.,Fact Check: Fake Post On Tata Offering Free Recharge Of Rs 719 On Ratan Tata's Birthday Goes Viral
Elvish Yadav met Virat Kohli after winning Bigg Boss,"Fact Check: Viral Picture Of Elvish Yadav With Virat Kohli Is Edited, Shared With Misleading Claim"
"Following a Bigg Boss triumph, Elvish Yadav has an encounter with cricket star Virat Kohli.","Fact Check: Viral Picture Of Elvish Yadav With Virat Kohli Is Edited, Shared With Misleading Claim"
"Post-victory on Bigg Boss, Elvish Yadav enjoys a meet-up with Virat Kohli.","Fact Check: Viral Picture Of Elvish Yadav With Virat Kohli Is Edited, Shared With Misleading Claim"
Bigg Boss winner Elvish Yadav's celebratory meeting with Virat Kohli.,"Fact Check: Viral Picture Of Elvish Yadav With Virat Kohli Is Edited, Shared With Misleading Claim"
"Fake wheat has also started being made, look at the market with open eyes, what is left now to make fake?",Fact Check: Video Of Plastic Granules Shared As 'Fake Wheat'; Viral Post Misleading
The emergence of counterfeit wheat prompts a call for vigilant shopping.,Fact Check: Phone Number Launched To Support BJP Viral With Misleading Claim About UCC
"Markets now see the advent of artificial wheat, raising concerns over authenticity.","Fact Check: Viral Image Of Three-story Bus In Ayodhya Created Using Artificial Intelligence, Shared With Misleading Claim"
"With fake wheat on the rise, consumers are urged to shop with heightened awareness.",Fact Check: Video Of Plastic Granules Shared As 'Fake Wheat'; Viral Post Misleading
Tata company offering free recharges after Chandrayaan 3 launch,Fact Check: Fake Free Recharge Links Going Viral After Chandrayaan-3's Landing
"In celebration of Chandrayaan 3's launch, Tata company proposes complimentary recharges.",Fact Check: Fake Post On Tata Offering Free Recharge Of Rs 719 On Ratan Tata's Birthday Goes Viral
Tata extends a free recharge gesture to mark the Chandrayaan 3 spacecraft's journey.,Fact Check: Fake Free Recharge Links Going Viral After Chandrayaan-3's Landing
"Post-Chandrayaan 3 liftoff, Tata company surprises with gratis recharge offers.",Fact Check: Fake Post On Tata Offering Free Recharge Of Rs 719 On Ratan Tata's Birthday Goes Viral
Palestinian actress Masiya Abd Elhadi acting outside a hospital in Gaza.,"Fact Check: Woman Crying Outside Hospital In Viral Video From Gaza Isn't Palestinian Actor, But A Common Citizen"
Masiya Abd Elhadi delivers a performance outside a Gazan hospital.,"Fact Check: Woman Crying Outside Hospital In Viral Video From Gaza Isn't Palestinian Actor, But A Common Citizen"
"In an outdoor act, Palestinian actress Masiya Abd Elhadi captivates outside Gaza's hospital.","Fact Check: Woman Crying Outside Hospital In Viral Video From Gaza Isn't Palestinian Actor, But A Common Citizen"
The environs of a Gaza hospital become a stage for actress Masiya Abd Elhadi.,"Fact Check: Woman Crying Outside Hospital In Viral Video From Gaza Isn't Palestinian Actor, But A Common Citizen"
Amartya Sen Passes Away,Fact Check: Nobel Laureate Amartya Sen's Death Rumours Are Fake
The departure of esteemed economist Amartya Sen is announced.,Fact Check: Nobel Laureate Amartya Sen's Death Rumours Are Fake
Nobel laureate Amartya Sen's passing marks the end of an era.,Fact Check: Nobel Laureate Amartya Sen's Death Rumours Are Fake
"The world bids farewell to the renowned scholar, Amartya Sen.",Fact Check: Viral Claim About Shooter Rhythm Sangwan Breaking World Records In Baku Is Misleading
